epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.39624,2.78906,4.33135,2.12424,0,0,0,0,2.61438,4.63423,2.23365,0,0,0
2,5.80099,3.33872,4.49778,2.51192,0,0,0,0,2.64751,4.61423,2.24245,1.41485e-05,1.41485e-05,1.41485e-05
3,8.79199,2.96554,4.39992,2.14397,0,0,0,0,2.65061,4.60084,2.24304,2.80141e-05,2.80141e-05,2.80141e-05
4,11.4434,2.5851,4.30355,1.83554,0,0,0,0,2.57679,4.6329,2.20954,4.15968e-05,4.15968e-05,4.15968e-05
5,14.0173,2.08318,4.17417,1.69992,0,0,0,0,2.57679,4.6329,2.20954,5.48965e-05,5.48965e-05,5.48965e-05
6,16.8396,2.70867,4.47347,1.95499,0,0,0,0,2.61119,4.69092,2.1602,6.79132e-05,6.79132e-05,6.79132e-05
7,19.8071,2.15846,4.26385,1.80668,0,0,0,0,2.61119,4.69092,2.1602,8.0647e-05,8.0647e-05,8.0647e-05
8,23.5101,2.33465,4.16779,1.8378,0,0,0,0,3.03216,4.66882,2.3291,9.30979e-05,9.30979e-05,9.30979e-05
9,27.6549,2.39859,4.17021,1.84726,0,0,0,0,3.03216,4.66882,2.3291,0.000105266,0.000105266,0.000105266
10,36.4395,2.15713,4.36729,1.84051,0,0,0,0,3.34788,5.44795,2.57256,0.000117151,0.000117151,0.000117151
11,43.3568,1.84339,3.98128,1.6086,0,0,0,0,3.34788,5.44795,2.57256,0.000128753,0.000128753,0.000128753
12,48.0332,1.62846,3.8364,1.5547,0,0,0,0,3.34788,5.44795,2.57256,0.000140072,0.000140072,0.000140072
13,56.9779,1.54438,4.06168,1.20191,0,0,0,0,4.03403,5.84982,2.91807,0.000151108,0.000151108,0.000151108
14,61.6787,1.6438,3.91138,1.36051,0,0,0,0,4.03403,5.84982,2.91807,0.000161861,0.000161861,0.000161861
15,64.835,1.36124,3.85771,1.29707,0,0,0,0,4.03403,5.84982,2.91807,0.000172332,0.000172332,0.000172332
16,67.7726,1.75968,3.96163,1.43675,0,0,0,0,4.92201,5.2909,3.52274,0.000182519,0.000182519,0.000182519
17,70.8692,1.28806,3.68188,1.21487,0,0,0,0,4.92201,5.2909,3.52274,0.000192423,0.000192423,0.000192423
18,74.1416,1.48429,3.92819,1.41506,0,0,0,0,4.92201,5.2909,3.52274,0.000202045,0.000202045,0.000202045
19,78.2613,1.48265,3.69463,1.38371,0,0,0,0,4.92201,5.2909,3.52274,0.000211383,0.000211383,0.000211383
