epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,306.468,2.14733,3.55338,1.80915,0.80301,0.29671,0.31405,0.19112,1.73893,3.07841,1.57375,5e-05,5e-05,5e-05
2,688.983,1.39243,1.9226,1.33903,0.38287,0.05678,0.06379,0.04339,1.27639,4.02564,1.27364,0.000107822,0.000107822,0.000107822
3,1262.63,1.1583,1.37817,1.21033,0.52087,0.56328,0.50977,0.38602,1.12286,3.65029,1.28736,0.000163268,0.000163268,0.000163268
4,2208.61,1.09012,1.2091,1.16769,0.27246,0.25162,0.14441,0.09932,1.13487,16.7129,1.32388,0.000216338,0.000216338,0.000216338
5,3133.59,1.03748,1.07414,1.15373,0.59126,0.75974,0.59215,0.4137,1.20233,3.54679,1.21824,0.000267032,0.000267032,0.000267032
6,3458.06,1.01074,0.97668,1.10888,0.68355,0.7867,0.70291,0.49119,1.17423,2.1202,1.25143,0.00031535,0.00031535,0.00031535
7,3752.57,1.08014,1.04437,1.16377,0.79491,0.74299,0.80947,0.56742,1.16065,1.7343,1.22375,0.000361292,0.000361292,0.000361292
8,4052.31,1.04218,0.91375,1.11577,0.84419,0.81802,0.82059,0.54469,1.22416,1.33377,1.26379,0.000404858,0.000404858,0.000404858
9,4341.93,1.07374,0.9359,1.11534,0.76339,0.8123,0.78353,0.5419,1.15136,1.53789,1.21476,0.000446048,0.000446048,0.000446048
10,4636.28,1.02028,0.88361,1.09845,0.71898,0.77461,0.78623,0.52426,1.21492,1.38284,1.24343,0.000484862,0.000484862,0.000484862
11,4929.59,0.97785,0.82932,1.07545,0.87967,0.82359,0.86675,0.60262,1.12223,1.21347,1.18805,0.0005213,0.0005213,0.0005213
12,5225.08,0.96754,0.83426,1.09331,0.85308,0.8049,0.84137,0.58205,1.15539,1.26835,1.19952,0.000555362,0.000555362,0.000555362
